product_id,product_name,category_name,department_name,Column1
191001,Nike Men's Fingertrap Max Training Shoe,Soccer,Fitness,
191002,Elevation Training Mask 2.0,Soccer,Fitness,
191003,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Fitness,
191004,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness,
191005,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,Fitness,
191006,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Fitness,
191007,Diamondback Boys' Insight 24 Performance Hybr,Basketball,Fitness,
191008,SOLE E25 Elliptical,Basketball,Fitness,
191009,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,Fitness,
191010,Under Armour Men's Tech II T-Shirt,Lacrosse,Fitness,
191011,Nike Men's Comfort 2 Slide,Tennis & Racquet,Fitness,
191012,Nike Women's Legend V-Neck T-Shirt,Hockey,Fitness,
191013,Stiga Master Series ST3100 Competition Indoor,Hockey,Fitness,
191014,Nike Dri-FIT Crew Sock 6 Pack,Hockey,Fitness,
191015,Nike Women's Tempo Shorts,Cardio Equipment,Footwear,
191016,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,
191017,GoPro HERO3+ Black Edition Camera,Strength Training,Footwear,
191018,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,Footwear,
191019,SOLE E35 Elliptical,Strength Training,Footwear,
191020,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Footwear,
191021,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,Footwear,
191022,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Footwear,
191023,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Footwear,
191024,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Footwear,
191025,Under Armour Women's Ignite Slide,Electronics,Footwear,
191026,Under Armour Men's Compression EV SL Slide,Electronics,Footwear,
191027,Under Armour Kids' Mercenary Slide,Electronics,Footwear,
191028,Under Armour Women's Ignite PIP VI Slide,Electronics,Footwear,
191029,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Footwear,
191030,Total Gym 1400,Cleats,Apparel,
191031,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,
191032,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,
191033,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,
191034,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf,
191035,TYR Boys' Team Digi Jammer,Girls' Apparel,Golf,
191036,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Golf,
191037,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,
191038,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,
191039,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,Golf,
191040,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Golf,
191041,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Outdoors,
191042,Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Outdoors,
191043,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Outdoors,
191044,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,Outdoors,
191045,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,Outdoors,
191046,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,Outdoors,
191047,TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,Outdoors,
191048,TaylorMade Women's RBZ SL Rescue,Golf Apparel,Outdoors,
191049,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Outdoors,
191050,Top Flite Women's 2014 XL Hybrid,Golf Apparel,Outdoors,
191051,LIJA Women's Button Golf Dress,Golf Shoes,Outdoors,
191052,LIJA Women's Argyle Golf Polo,Golf Shoes,Outdoors,
191053,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,Outdoors,
191054,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Outdoors,
191055,Ogio Race Golf Shoes,Golf Bags & Carts,Outdoors,
191056,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,Outdoors,
191057,Bag Boy M330 Push Cart,Golf Gloves,Outdoors,
191058,Bag Boy Beverage Holder,Golf Gloves,Outdoors,
191059,Clicgear 8.0 Shoe Brush,Golf Gloves,Outdoors,
191060,Clicgear Rovic Cooler Bag,Golf Gloves,Outdoors,
191061,Titleist Club Glove Travel Cover,Golf Gloves,Outdoors,
191062,Titleist Small Wheeled Travel Cover,Golf Gloves,Outdoors,
191063,Hirzl Women's Hybrid Golf Glove,Golf Balls,Outdoors,
191064,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Outdoors,
191065,Hirzl Men's Hybrid Golf Glove,Golf Balls,Outdoors,
191066,Glove It Women's Imperial Golf Glove,Golf Balls,Outdoors,
191067,Glove It Women's Mod Oval Golf Glove,Golf Balls,Outdoors,
191068,Bridgestone e6 Straight Distance NFL Carolina,Electronics,Outdoors,
191069,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors,
191070,Titleist Pro V1x High Numbers Golf Balls,Electronics,Outdoors,
191071,Titleist Pro V1x High Numbers Personalized Go,Electronics,Outdoors,
191072,Titleist Pro V1x Golf Balls,Electronics,Outdoors,
191073,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Outdoors,
191074,Titleist Pro V1 High Numbers Personalized Gol,Electronics,Outdoors,
191075,GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,Outdoors,
191076,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,Outdoors,
191077,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Outdoors,
191078,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,Outdoors,
191079,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Outdoors,
191080,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,Outdoors,
191081,Polar Loop Activity Tracker,Kids' Golf Clubs,Outdoors,
191082,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,Outdoors,
191083,Team Golf Pittsburgh Steelers Putter Grip,Accessories,Outdoors,
191084,Team Golf Tennessee Volunteers Putter Grip,Accessories,Outdoors,
191085,Team Golf New England Patriots Putter Grip,Accessories,Outdoors,
191086,Team Golf St. Louis Cardinals Putter Grip,Accessories,Outdoors,
191087,Team Golf San Francisco Giants Putter Grip,Accessories,Outdoors,
191088,Team Golf Texas Longhorns Putter Grip,Accessories,Outdoors,
191089,Glove It Imperial Golf Towel,Trade-In,Outdoors,
191090,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,Outdoors,
191091,Garmin Approach S3 Golf GPS Watch,Trade-In,Outdoors,
191092,Glove It Urban Brick Golf Towel,Trade-In,Outdoors,
191093,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,
191094,ENO Atlas Hammock Straps,Hunting & Shooting,Fan Shop,
191095,insta-bed Neverflat Air Mattress,Hunting & Shooting,Fan Shop,
191096,The North Face Women's Recon Backpack,Hunting & Shooting,Fan Shop,
191097,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,
191098,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,
191099,Pelican Maverick 100X Kayak,Water Sports,Fan Shop,
191100,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,
191101,Sports Books,Books,Book Shop,
191102,Baby sweater,Baby,Apparel,
191103,CDs of rock,CDs,Discs Shop,
191104,Web Camera,Cameras,Technology,
191105,Children's heaters,Children's Clothing,Apparel,
191106,Dell Laptop,Computers,Technology,
191107,Industrial consumer electronics,Consumer Electronics,Technology,
191108,Porcelain crafts,Crafts,Apparel,
191109,DVDs,DVDs,Discs Shop,
191110,Lawn mower,Garden,Outdoors,
191111,First aid kit,Health and Beauty,Health and Beauty,
191112,Men's gala suit,Men's Clothing,Apparel,
191113,Rock music,Music,Discs Shop,
191114,Adult dog supplies,Pet Supplies,Pet Shop,
191115,Smart watch,Sporting Goods,Fitness,
191116,Toys,Toys,Fan Shop,
191117,Fighting video games,Video Games,Discs Shop,
191118,Summer dresses,Women's Clothing,Apparel,
