date_shiiping,year,month,month_name,quarter
01/03/2015,2015,1,January,Q1
01/04/2015,2015,1,January,Q1
01/05/2015,2015,1,January,Q1
01/06/2015,2015,1,January,Q1
01/07/2015,2015,1,January,Q1
01/08/2015,2015,1,January,Q1
01/09/2015,2015,1,January,Q1
01/10/2015,2015,1,January,Q1
01/11/2015,2015,1,January,Q1
01/12/2015,2015,1,January,Q1
01/13/2015,2015,1,January,Q1
01/14/2015,2015,1,January,Q1
01/15/2015,2015,1,January,Q1
01/16/2015,2015,1,January,Q1
01/17/2015,2015,1,January,Q1
01/18/2015,2015,1,January,Q1
01/19/2015,2015,1,January,Q1
01/20/2015,2015,1,January,Q1
01/21/2015,2015,1,January,Q1
01/22/2015,2015,1,January,Q1
01/23/2015,2015,1,January,Q1
01/24/2015,2015,1,January,Q1
01/25/2015,2015,1,January,Q1
01/26/2015,2015,1,January,Q1
01/27/2015,2015,1,January,Q1
01/28/2015,2015,1,January,Q1
01/29/2015,2015,1,January,Q1
01/30/2015,2015,1,January,Q1
01/31/2015,2015,1,January,Q1
02/01/2015,2015,2,February,Q1
02/02/2015,2015,2,February,Q1
02/03/2015,2015,2,February,Q1
02/04/2015,2015,2,February,Q1
02/05/2015,2015,2,February,Q1
02/06/2015,2015,2,February,Q1
02/07/2015,2015,2,February,Q1
02/08/2015,2015,2,February,Q1
02/09/2015,2015,2,February,Q1
02/10/2015,2015,2,February,Q1
02/11/2015,2015,2,February,Q1
02/12/2015,2015,2,February,Q1
02/13/2015,2015,2,February,Q1
02/14/2015,2015,2,February,Q1
02/15/2015,2015,2,February,Q1
02/16/2015,2015,2,February,Q1
02/17/2015,2015,2,February,Q1
02/18/2015,2015,2,February,Q1
02/19/2015,2015,2,February,Q1
02/20/2015,2015,2,February,Q1
02/21/2015,2015,2,February,Q1
02/22/2015,2015,2,February,Q1
02/23/2015,2015,2,February,Q1
02/24/2015,2015,2,February,Q1
02/25/2015,2015,2,February,Q1
02/26/2015,2015,2,February,Q1
02/27/2015,2015,2,February,Q1
02/28/2015,2015,2,February,Q1
03/01/2015,2015,3,March,Q1
03/02/2015,2015,3,March,Q1
03/03/2015,2015,3,March,Q1
03/04/2015,2015,3,March,Q1
03/05/2015,2015,3,March,Q1
03/06/2015,2015,3,March,Q1
03/07/2015,2015,3,March,Q1
03/08/2015,2015,3,March,Q1
03/09/2015,2015,3,March,Q1
03/10/2015,2015,3,March,Q1
03/11/2015,2015,3,March,Q1
03/12/2015,2015,3,March,Q1
03/13/2015,2015,3,March,Q1
03/14/2015,2015,3,March,Q1
03/15/2015,2015,3,March,Q1
03/16/2015,2015,3,March,Q1
03/17/2015,2015,3,March,Q1
03/18/2015,2015,3,March,Q1
03/19/2015,2015,3,March,Q1
03/20/2015,2015,3,March,Q1
03/21/2015,2015,3,March,Q1
03/22/2015,2015,3,March,Q1
03/23/2015,2015,3,March,Q1
03/24/2015,2015,3,March,Q1
03/25/2015,2015,3,March,Q1
03/26/2015,2015,3,March,Q1
03/27/2015,2015,3,March,Q1
03/28/2015,2015,3,March,Q1
03/29/2015,2015,3,March,Q1
03/30/2015,2015,3,March,Q1
03/31/2015,2015,3,March,Q1
04/01/2015,2015,4,April,Q2
04/02/2015,2015,4,April,Q2
04/03/2015,2015,4,April,Q2
04/04/2015,2015,4,April,Q2
04/05/2015,2015,4,April,Q2
04/06/2015,2015,4,April,Q2
04/07/2015,2015,4,April,Q2
04/08/2015,2015,4,April,Q2
04/09/2015,2015,4,April,Q2
04/10/2015,2015,4,April,Q2
04/11/2015,2015,4,April,Q2
04/12/2015,2015,4,April,Q2
04/13/2015,2015,4,April,Q2
04/14/2015,2015,4,April,Q2
04/15/2015,2015,4,April,Q2
04/16/2015,2015,4,April,Q2
04/17/2015,2015,4,April,Q2
04/18/2015,2015,4,April,Q2
04/19/2015,2015,4,April,Q2
04/20/2015,2015,4,April,Q2
04/21/2015,2015,4,April,Q2
04/22/2015,2015,4,April,Q2
04/23/2015,2015,4,April,Q2
04/24/2015,2015,4,April,Q2
04/25/2015,2015,4,April,Q2
04/26/2015,2015,4,April,Q2
04/27/2015,2015,4,April,Q2
04/28/2015,2015,4,April,Q2
04/29/2015,2015,4,April,Q2
04/30/2015,2015,4,April,Q2
05/01/2015,2015,5,May,Q2
05/02/2015,2015,5,May,Q2
05/03/2015,2015,5,May,Q2
05/04/2015,2015,5,May,Q2
05/05/2015,2015,5,May,Q2
05/06/2015,2015,5,May,Q2
05/07/2015,2015,5,May,Q2
05/08/2015,2015,5,May,Q2
05/09/2015,2015,5,May,Q2
05/10/2015,2015,5,May,Q2
05/11/2015,2015,5,May,Q2
05/12/2015,2015,5,May,Q2
05/13/2015,2015,5,May,Q2
05/14/2015,2015,5,May,Q2
05/15/2015,2015,5,May,Q2
05/16/2015,2015,5,May,Q2
05/17/2015,2015,5,May,Q2
05/18/2015,2015,5,May,Q2
05/19/2015,2015,5,May,Q2
05/20/2015,2015,5,May,Q2
05/21/2015,2015,5,May,Q2
05/22/2015,2015,5,May,Q2
05/23/2015,2015,5,May,Q2
05/24/2015,2015,5,May,Q2
05/25/2015,2015,5,May,Q2
05/26/2015,2015,5,May,Q2
05/27/2015,2015,5,May,Q2
05/28/2015,2015,5,May,Q2
05/29/2015,2015,5,May,Q2
05/30/2015,2015,5,May,Q2
05/31/2015,2015,5,May,Q2
06/01/2015,2015,6,June,Q2
06/02/2015,2015,6,June,Q2
06/03/2015,2015,6,June,Q2
06/04/2015,2015,6,June,Q2
06/05/2015,2015,6,June,Q2
06/06/2015,2015,6,June,Q2
06/07/2015,2015,6,June,Q2
06/08/2015,2015,6,June,Q2
06/09/2015,2015,6,June,Q2
06/10/2015,2015,6,June,Q2
06/11/2015,2015,6,June,Q2
06/12/2015,2015,6,June,Q2
06/13/2015,2015,6,June,Q2
06/14/2015,2015,6,June,Q2
06/15/2015,2015,6,June,Q2
06/16/2015,2015,6,June,Q2
06/17/2015,2015,6,June,Q2
06/18/2015,2015,6,June,Q2
06/19/2015,2015,6,June,Q2
06/20/2015,2015,6,June,Q2
06/21/2015,2015,6,June,Q2
06/22/2015,2015,6,June,Q2
06/23/2015,2015,6,June,Q2
06/24/2015,2015,6,June,Q2
06/25/2015,2015,6,June,Q2
06/26/2015,2015,6,June,Q2
06/27/2015,2015,6,June,Q2
06/28/2015,2015,6,June,Q2
06/29/2015,2015,6,June,Q2
06/30/2015,2015,6,June,Q2
07/01/2015,2015,7,July,Q3
07/02/2015,2015,7,July,Q3
07/03/2015,2015,7,July,Q3
07/04/2015,2015,7,July,Q3
07/05/2015,2015,7,July,Q3
07/06/2015,2015,7,July,Q3
07/07/2015,2015,7,July,Q3
07/08/2015,2015,7,July,Q3
07/09/2015,2015,7,July,Q3
07/10/2015,2015,7,July,Q3
07/11/2015,2015,7,July,Q3
07/12/2015,2015,7,July,Q3
07/13/2015,2015,7,July,Q3
07/14/2015,2015,7,July,Q3
07/15/2015,2015,7,July,Q3
07/16/2015,2015,7,July,Q3
07/17/2015,2015,7,July,Q3
07/18/2015,2015,7,July,Q3
07/19/2015,2015,7,July,Q3
07/20/2015,2015,7,July,Q3
07/21/2015,2015,7,July,Q3
07/22/2015,2015,7,July,Q3
07/23/2015,2015,7,July,Q3
07/24/2015,2015,7,July,Q3
07/25/2015,2015,7,July,Q3
07/26/2015,2015,7,July,Q3
07/27/2015,2015,7,July,Q3
07/28/2015,2015,7,July,Q3
07/29/2015,2015,7,July,Q3
07/30/2015,2015,7,July,Q3
07/31/2015,2015,7,July,Q3
08/01/2015,2015,8,August,Q3
08/02/2015,2015,8,August,Q3
08/03/2015,2015,8,August,Q3
08/04/2015,2015,8,August,Q3
08/05/2015,2015,8,August,Q3
08/06/2015,2015,8,August,Q3
08/07/2015,2015,8,August,Q3
08/08/2015,2015,8,August,Q3
08/09/2015,2015,8,August,Q3
08/10/2015,2015,8,August,Q3
08/11/2015,2015,8,August,Q3
08/12/2015,2015,8,August,Q3
08/13/2015,2015,8,August,Q3
08/14/2015,2015,8,August,Q3
08/15/2015,2015,8,August,Q3
08/16/2015,2015,8,August,Q3
08/17/2015,2015,8,August,Q3
08/18/2015,2015,8,August,Q3
08/19/2015,2015,8,August,Q3
08/20/2015,2015,8,August,Q3
08/21/2015,2015,8,August,Q3
08/22/2015,2015,8,August,Q3
08/23/2015,2015,8,August,Q3
08/24/2015,2015,8,August,Q3
08/25/2015,2015,8,August,Q3
08/26/2015,2015,8,August,Q3
08/27/2015,2015,8,August,Q3
08/28/2015,2015,8,August,Q3
08/29/2015,2015,8,August,Q3
08/30/2015,2015,8,August,Q3
08/31/2015,2015,8,August,Q3
09/01/2015,2015,9,September,Q3
09/02/2015,2015,9,September,Q3
09/03/2015,2015,9,September,Q3
09/04/2015,2015,9,September,Q3
09/05/2015,2015,9,September,Q3
09/06/2015,2015,9,September,Q3
09/07/2015,2015,9,September,Q3
09/08/2015,2015,9,September,Q3
09/09/2015,2015,9,September,Q3
09/10/2015,2015,9,September,Q3
09/11/2015,2015,9,September,Q3
09/12/2015,2015,9,September,Q3
09/13/2015,2015,9,September,Q3
09/14/2015,2015,9,September,Q3
09/15/2015,2015,9,September,Q3
09/16/2015,2015,9,September,Q3
09/17/2015,2015,9,September,Q3
09/18/2015,2015,9,September,Q3
09/19/2015,2015,9,September,Q3
09/20/2015,2015,9,September,Q3
09/21/2015,2015,9,September,Q3
09/22/2015,2015,9,September,Q3
09/23/2015,2015,9,September,Q3
09/24/2015,2015,9,September,Q3
09/25/2015,2015,9,September,Q3
09/26/2015,2015,9,September,Q3
09/27/2015,2015,9,September,Q3
09/28/2015,2015,9,September,Q3
09/29/2015,2015,9,September,Q3
09/30/2015,2015,9,September,Q3
10/01/2015,2015,10,October,Q4
10/02/2015,2015,10,October,Q4
10/03/2015,2015,10,October,Q4
10/04/2015,2015,10,October,Q4
10/05/2015,2015,10,October,Q4
10/06/2015,2015,10,October,Q4
10/07/2015,2015,10,October,Q4
10/08/2015,2015,10,October,Q4
10/09/2015,2015,10,October,Q4
10/10/2015,2015,10,October,Q4
10/11/2015,2015,10,October,Q4
10/12/2015,2015,10,October,Q4
10/13/2015,2015,10,October,Q4
10/14/2015,2015,10,October,Q4
10/15/2015,2015,10,October,Q4
10/16/2015,2015,10,October,Q4
10/17/2015,2015,10,October,Q4
10/18/2015,2015,10,October,Q4
10/19/2015,2015,10,October,Q4
10/20/2015,2015,10,October,Q4
10/21/2015,2015,10,October,Q4
10/22/2015,2015,10,October,Q4
10/23/2015,2015,10,October,Q4
10/24/2015,2015,10,October,Q4
10/25/2015,2015,10,October,Q4
10/26/2015,2015,10,October,Q4
10/27/2015,2015,10,October,Q4
10/28/2015,2015,10,October,Q4
10/29/2015,2015,10,October,Q4
10/30/2015,2015,10,October,Q4
10/31/2015,2015,10,October,Q4
11/01/2015,2015,11,November,Q4
11/02/2015,2015,11,November,Q4
11/03/2015,2015,11,November,Q4
11/04/2015,2015,11,November,Q4
11/05/2015,2015,11,November,Q4
11/06/2015,2015,11,November,Q4
11/07/2015,2015,11,November,Q4
11/08/2015,2015,11,November,Q4
11/09/2015,2015,11,November,Q4
11/10/2015,2015,11,November,Q4
11/11/2015,2015,11,November,Q4
11/12/2015,2015,11,November,Q4
11/13/2015,2015,11,November,Q4
11/14/2015,2015,11,November,Q4
11/15/2015,2015,11,November,Q4
11/16/2015,2015,11,November,Q4
11/17/2015,2015,11,November,Q4
11/18/2015,2015,11,November,Q4
11/19/2015,2015,11,November,Q4
11/20/2015,2015,11,November,Q4
11/21/2015,2015,11,November,Q4
11/22/2015,2015,11,November,Q4
11/23/2015,2015,11,November,Q4
11/24/2015,2015,11,November,Q4
11/25/2015,2015,11,November,Q4
11/26/2015,2015,11,November,Q4
11/27/2015,2015,11,November,Q4
11/28/2015,2015,11,November,Q4
11/29/2015,2015,11,November,Q4
11/30/2015,2015,11,November,Q4
12/01/2015,2015,12,December,Q4
12/02/2015,2015,12,December,Q4
12/03/2015,2015,12,December,Q4
12/04/2015,2015,12,December,Q4
12/05/2015,2015,12,December,Q4
12/06/2015,2015,12,December,Q4
12/07/2015,2015,12,December,Q4
12/08/2015,2015,12,December,Q4
12/09/2015,2015,12,December,Q4
12/10/2015,2015,12,December,Q4
12/11/2015,2015,12,December,Q4
12/12/2015,2015,12,December,Q4
12/13/2015,2015,12,December,Q4
12/14/2015,2015,12,December,Q4
12/15/2015,2015,12,December,Q4
12/16/2015,2015,12,December,Q4
12/17/2015,2015,12,December,Q4
12/18/2015,2015,12,December,Q4
12/19/2015,2015,12,December,Q4
12/20/2015,2015,12,December,Q4
12/21/2015,2015,12,December,Q4
12/22/2015,2015,12,December,Q4
12/23/2015,2015,12,December,Q4
12/24/2015,2015,12,December,Q4
12/25/2015,2015,12,December,Q4
12/26/2015,2015,12,December,Q4
12/27/2015,2015,12,December,Q4
12/28/2015,2015,12,December,Q4
12/29/2015,2015,12,December,Q4
12/30/2015,2015,12,December,Q4
12/31/2015,2015,12,December,Q4
01/01/2016,2016,1,January,Q1
01/02/2016,2016,1,January,Q1
01/03/2016,2016,1,January,Q1
01/04/2016,2016,1,January,Q1
01/05/2016,2016,1,January,Q1
01/06/2016,2016,1,January,Q1
01/07/2016,2016,1,January,Q1
01/08/2016,2016,1,January,Q1
01/09/2016,2016,1,January,Q1
01/10/2016,2016,1,January,Q1
01/11/2016,2016,1,January,Q1
01/12/2016,2016,1,January,Q1
01/13/2016,2016,1,January,Q1
01/14/2016,2016,1,January,Q1
01/15/2016,2016,1,January,Q1
01/16/2016,2016,1,January,Q1
01/17/2016,2016,1,January,Q1
01/18/2016,2016,1,January,Q1
01/19/2016,2016,1,January,Q1
01/20/2016,2016,1,January,Q1
01/21/2016,2016,1,January,Q1
01/22/2016,2016,1,January,Q1
01/23/2016,2016,1,January,Q1
01/24/2016,2016,1,January,Q1
01/25/2016,2016,1,January,Q1
01/26/2016,2016,1,January,Q1
01/27/2016,2016,1,January,Q1
01/28/2016,2016,1,January,Q1
01/29/2016,2016,1,January,Q1
01/30/2016,2016,1,January,Q1
01/31/2016,2016,1,January,Q1
02/01/2016,2016,2,February,Q1
02/02/2016,2016,2,February,Q1
02/03/2016,2016,2,February,Q1
02/04/2016,2016,2,February,Q1
02/05/2016,2016,2,February,Q1
02/06/2016,2016,2,February,Q1
02/07/2016,2016,2,February,Q1
02/08/2016,2016,2,February,Q1
02/09/2016,2016,2,February,Q1
02/10/2016,2016,2,February,Q1
02/11/2016,2016,2,February,Q1
02/12/2016,2016,2,February,Q1
02/13/2016,2016,2,February,Q1
02/14/2016,2016,2,February,Q1
02/15/2016,2016,2,February,Q1
02/16/2016,2016,2,February,Q1
02/17/2016,2016,2,February,Q1
02/18/2016,2016,2,February,Q1
02/19/2016,2016,2,February,Q1
02/20/2016,2016,2,February,Q1
02/21/2016,2016,2,February,Q1
02/22/2016,2016,2,February,Q1
02/23/2016,2016,2,February,Q1
02/24/2016,2016,2,February,Q1
02/25/2016,2016,2,February,Q1
02/26/2016,2016,2,February,Q1
02/27/2016,2016,2,February,Q1
02/28/2016,2016,2,February,Q1
02/29/2016,2016,2,February,Q1
03/01/2016,2016,3,March,Q1
03/02/2016,2016,3,March,Q1
03/03/2016,2016,3,March,Q1
03/04/2016,2016,3,March,Q1
03/05/2016,2016,3,March,Q1
03/06/2016,2016,3,March,Q1
03/07/2016,2016,3,March,Q1
03/08/2016,2016,3,March,Q1
03/09/2016,2016,3,March,Q1
03/10/2016,2016,3,March,Q1
03/11/2016,2016,3,March,Q1
03/12/2016,2016,3,March,Q1
03/13/2016,2016,3,March,Q1
03/14/2016,2016,3,March,Q1
03/15/2016,2016,3,March,Q1
03/16/2016,2016,3,March,Q1
03/17/2016,2016,3,March,Q1
03/18/2016,2016,3,March,Q1
03/19/2016,2016,3,March,Q1
03/20/2016,2016,3,March,Q1
03/21/2016,2016,3,March,Q1
03/22/2016,2016,3,March,Q1
03/23/2016,2016,3,March,Q1
03/24/2016,2016,3,March,Q1
03/25/2016,2016,3,March,Q1
03/26/2016,2016,3,March,Q1
03/27/2016,2016,3,March,Q1
03/28/2016,2016,3,March,Q1
03/29/2016,2016,3,March,Q1
03/30/2016,2016,3,March,Q1
03/31/2016,2016,3,March,Q1
04/01/2016,2016,4,April,Q2
04/02/2016,2016,4,April,Q2
04/03/2016,2016,4,April,Q2
04/04/2016,2016,4,April,Q2
04/05/2016,2016,4,April,Q2
04/06/2016,2016,4,April,Q2
04/07/2016,2016,4,April,Q2
04/08/2016,2016,4,April,Q2
04/09/2016,2016,4,April,Q2
04/10/2016,2016,4,April,Q2
04/11/2016,2016,4,April,Q2
04/12/2016,2016,4,April,Q2
04/13/2016,2016,4,April,Q2
04/14/2016,2016,4,April,Q2
04/15/2016,2016,4,April,Q2
04/16/2016,2016,4,April,Q2
04/17/2016,2016,4,April,Q2
04/18/2016,2016,4,April,Q2
04/19/2016,2016,4,April,Q2
04/20/2016,2016,4,April,Q2
04/21/2016,2016,4,April,Q2
04/22/2016,2016,4,April,Q2
04/23/2016,2016,4,April,Q2
04/24/2016,2016,4,April,Q2
04/25/2016,2016,4,April,Q2
04/26/2016,2016,4,April,Q2
04/27/2016,2016,4,April,Q2
04/28/2016,2016,4,April,Q2
04/29/2016,2016,4,April,Q2
04/30/2016,2016,4,April,Q2
05/01/2016,2016,5,May,Q2
05/02/2016,2016,5,May,Q2
05/03/2016,2016,5,May,Q2
05/04/2016,2016,5,May,Q2
05/05/2016,2016,5,May,Q2
05/06/2016,2016,5,May,Q2
05/07/2016,2016,5,May,Q2
05/08/2016,2016,5,May,Q2
05/09/2016,2016,5,May,Q2
05/10/2016,2016,5,May,Q2
05/11/2016,2016,5,May,Q2
05/12/2016,2016,5,May,Q2
05/13/2016,2016,5,May,Q2
05/14/2016,2016,5,May,Q2
05/15/2016,2016,5,May,Q2
05/16/2016,2016,5,May,Q2
05/17/2016,2016,5,May,Q2
05/18/2016,2016,5,May,Q2
05/19/2016,2016,5,May,Q2
05/20/2016,2016,5,May,Q2
05/21/2016,2016,5,May,Q2
05/22/2016,2016,5,May,Q2
05/23/2016,2016,5,May,Q2
05/24/2016,2016,5,May,Q2
05/25/2016,2016,5,May,Q2
05/26/2016,2016,5,May,Q2
05/27/2016,2016,5,May,Q2
05/28/2016,2016,5,May,Q2
05/29/2016,2016,5,May,Q2
05/30/2016,2016,5,May,Q2
05/31/2016,2016,5,May,Q2
06/01/2016,2016,6,June,Q2
06/02/2016,2016,6,June,Q2
06/03/2016,2016,6,June,Q2
06/04/2016,2016,6,June,Q2
06/05/2016,2016,6,June,Q2
06/06/2016,2016,6,June,Q2
06/07/2016,2016,6,June,Q2
06/08/2016,2016,6,June,Q2
06/09/2016,2016,6,June,Q2
06/10/2016,2016,6,June,Q2
06/11/2016,2016,6,June,Q2
06/12/2016,2016,6,June,Q2
06/13/2016,2016,6,June,Q2
06/14/2016,2016,6,June,Q2
06/15/2016,2016,6,June,Q2
06/16/2016,2016,6,June,Q2
06/17/2016,2016,6,June,Q2
06/18/2016,2016,6,June,Q2
06/19/2016,2016,6,June,Q2
06/20/2016,2016,6,June,Q2
06/21/2016,2016,6,June,Q2
06/22/2016,2016,6,June,Q2
06/23/2016,2016,6,June,Q2
06/24/2016,2016,6,June,Q2
06/25/2016,2016,6,June,Q2
06/26/2016,2016,6,June,Q2
06/27/2016,2016,6,June,Q2
06/28/2016,2016,6,June,Q2
06/29/2016,2016,6,June,Q2
06/30/2016,2016,6,June,Q2
07/01/2016,2016,7,July,Q3
07/02/2016,2016,7,July,Q3
07/03/2016,2016,7,July,Q3
07/04/2016,2016,7,July,Q3
07/05/2016,2016,7,July,Q3
07/06/2016,2016,7,July,Q3
07/07/2016,2016,7,July,Q3
07/08/2016,2016,7,July,Q3
07/09/2016,2016,7,July,Q3
07/10/2016,2016,7,July,Q3
07/11/2016,2016,7,July,Q3
07/12/2016,2016,7,July,Q3
07/13/2016,2016,7,July,Q3
07/14/2016,2016,7,July,Q3
07/15/2016,2016,7,July,Q3
07/16/2016,2016,7,July,Q3
07/17/2016,2016,7,July,Q3
07/18/2016,2016,7,July,Q3
07/19/2016,2016,7,July,Q3
07/20/2016,2016,7,July,Q3
07/21/2016,2016,7,July,Q3
07/22/2016,2016,7,July,Q3
07/23/2016,2016,7,July,Q3
07/24/2016,2016,7,July,Q3
07/25/2016,2016,7,July,Q3
07/26/2016,2016,7,July,Q3
07/27/2016,2016,7,July,Q3
07/28/2016,2016,7,July,Q3
07/29/2016,2016,7,July,Q3
